EXP 1														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
9	2599.24	1.29863	3.9841	1.28563	0.73195	0.68013	0.74766	0.53811	1.09656	3.28323	1.46155	0.000938772	0.000938772	0.000938772
10	2886.52	1.26909	3.78681	1.26785	0.7897	0.66094	0.80034	0.58812	1.19365	3.25753	1.62467	0.000922942	0.000922942	0.000922942
11	3167.93	1.25935	3.67868	1.26706	0.72562	0.72022	0.79716	0.59016	1.09485	3.18847	1.54189	0.000905463	0.000905463	0.000905463
12	3449.79	1.23763	3.53359	1.25176	0.81112	0.63515	0.79468	0.58105	1.05599	3.02563	1.44854	0.000886404	0.000886404	0.000886404
13	3731.2	1.23497	3.43512	1.24534	0.78006	0.70246	0.82944	0.61591	1.0547	3.07009	1.44968	0.000865839	0.000865839	0.000865839
14	4019.2	1.20251	3.32167	1.23228	0.7634	0.74535	0.82706	0.59234	1.1336	3.19659	1.52847	0.000843851	0.000843851	0.000843851
15	4305.98	1.19357	3.24656	1.22791	0.7828	0.82463	0.876	0.63582	1.18046	2.6387	1.58681	0.000820525	0.000820525	0.000820525
16	4590.4	1.17549	3.1296	1.21624	0.79366	0.79191	0.8631	0.63008	1.04935	2.61417	1.41487	0.000795954	0.000795954	0.000795954
17	4874.79	1.15886	3.04297	1.20333	0.805	0.84097	0.88722	0.64717	1.1276	2.47176	1.51309	0.000770234	0.000770234	0.000770234
18	5162.91	1.16293	3.04509	1.19883	0.81038	0.78888	0.89355	0.68006	1.01355	2.91528	1.39121	0.000743468	0.000743468	0.000743468
19	5450.4	1.13525	2.89215	1.19769	0.78209	0.86212	0.90883	0.71409	0.84834	2.21887	1.25094	0.000715761	0.000715761	0.000715761
20	5735.86	1.1132	2.88141	1.1849	0.83741	0.79552	0.88464	0.66831	0.99147	2.39504	1.43032	0.000687222	0.000687222	0.000687222
21	6018.4	1.10148	2.78722	1.17817	0.84979	0.78346	0.87109	0.66653	0.97243	2.25644	1.37549	0.000657963	0.000657963	0.000657963
22	6304.72	1.08682	2.74102	1.16722	0.81923	0.85227	0.89837	0.68755	0.9796	2.49619	1.37732	0.000628101	0.000628101	0.000628101
23	6587.22	1.0622	2.68305	1.15758	0.81866	0.82836	0.89384	0.68421	0.93639	2.35235	1.33771	0.000597754	0.000597754	0.000597754
24	6870.24	1.04481	2.58797	1.14318	0.82899	0.86061	0.91782	0.7234	0.87043	2.10343	1.28992	0.00056704	0.00056704	0.00056704
25	7156.55	1.04704	2.60417	1.15397	0.85718	0.8442	0.91839	0.71845	0.88876	2.19033	1.30756	0.000536081	0.000536081	0.000536081
26	7437.54	1.02284	2.50762	1.13542	0.76574	0.87268	0.90748	0.71138	0.82952	2.14148	1.23651	0.000505	0.000505	0.000505
27	7720.77	1.02134	2.48144	1.12397	0.80379	0.88854	0.91795	0.72324	0.86873	1.96915	1.28006	0.000473919	0.000473919	0.000473919
28	8004.87	1.00327	2.40044	1.11878	0.87656	0.82397	0.91206	0.72608	0.852	1.91947	1.25975	0.00044296	0.00044296	0.00044296
29	8287.85	0.99438	2.37054	1.11374	0.88903	0.84412	0.92315	0.73763	0.90653	1.93742	1.32861	0.000412246	0.000412246	0.000412246
30	8573.56	0.98674	2.31123	1.11444	0.89266	0.87311	0.92639	0.73858	0.85066	1.82751	1.2516	0.000381899	0.000381899	0.000381899
31	8861.43	0.97616	2.30464	1.11493	0.86596	0.8668	0.93071	0.74014	0.85821	1.78422	1.26166	0.000352037	0.000352037	0.000352037
32	9149.11	0.94759	2.23604	1.09524	0.8486	0.90135	0.93201	0.75096	0.77522	1.7049	1.1763	0.000322778	0.000322778	0.000322778
33	9433.92	0.93733	2.19434	1.09435	0.85444	0.90493	0.92941	0.74253	0.8489	1.77844	1.25288	0.000294239	0.000294239	0.000294239
34	9717.75	0.92398	2.12014	1.08846	0.87012	0.89725	0.93518	0.76482	0.7399	1.67121	1.17527	0.000266532	0.000266532	0.000266532
35	10000.9	0.92762	2.12327	1.0827	0.87752	0.88411	0.93539	0.75437	0.81706	1.73419	1.21937	0.000239766	0.000239766	0.000239766
36	10282.3	0.89825	2.06192	1.06965	0.89558	0.87882	0.92791	0.76757	0.72015	1.6689	1.14606	0.000214046	0.000214046	0.000214046
